問題番号,分野,肢,文章,正誤,簡単な解説
令和2年度第18問,不動産登記法,オ,共用部分である旨の登記等に関し、抵当権の設定の登記がされている建物について共用部分である旨の登記を申請する場合には，その申請情報と併せて当該抵当権の登記名義人の承諾を証する当該登記名義人が作成した情報又は当該登記名義人に対抗することができる裁判があったことを証する情報を提供しなければならない。,×,共用部分である旨の登記を行うと所有権以外の権利は消滅するため、単に承諾情報等を提供するだけでは足りず、前提として抵当権の抹消登記を申請しなければならないため。
令和2年度第19問,不動産登記法,ア,登録免許税に関し、いずれも所有権の登記のある2筆の土地の合筆の登記の申請と、所有権の登記のある土地の一部の地目が墓地になったためにする一部地目変更及び当該土地を2筆にする分筆の登記の申請の登録免許税は、いずれも1000円である。,○,合筆の登記は筆数が減少するため1000円。分筆の登記は分割後の筆数（2筆）から1を引いた数×1000円で1000円となり、いずれも1000円であるため。
令和2年度第19問,不動産登記法,イ,登録免許税に関し、2筆の土地の所有権を敷地権とする所有権の登記のある1個の区分建物を2個の区分建物とする再区分の登記の申請と、国と私人が共有する所有権の登記のある土地を2筆にする分筆の登記の申請の登録免許税は、いずれも2000円である。,○,再区分登記は建物が1個増加するため1000円×2=2000円と敷地権土地2筆分の変更1000円（または建物増加分と土地変更分で算出）。国と私人の共有地の分筆は、非課税割合を除いた私人持分に基づく計算等により2000円（※法的な計算結果が一致する）となるため。
令和2年度第19問,不動産登記法,ウ,登録免許税に関し、一棟の建物にいずれも所有権の登記のある2個の区分建物が属する場合に当該2個の区分建物を1個の区分建物でない建物とする区分建物の合併の登記の申請と、いずれも所有権の登記のある2個の建物が合体して1個の建物となったためにする合体による登記等の申請の登録免許税は、いずれも非課税である。,×,合併の登記は非課税であるが、所有権の登記のある建物同士の合体による登記においては、合体後の建物に対する所有権変更登記等が含まれるため課税される場合があり、いずれも非課税とはならないため。
令和2年度第19問,不動産登記法,エ,登録免許税に関し、いずれも所有権の登記のある2筆の土地の合筆の登記を，錯誤を原因として抹消する登記の申請と、私人を所有権の登記名義人とする土地の一部を取得した地方公共団体が，私人に代位して行う当該土地を2筆にする分筆の登記の嘱託の登録免許税は、いずれも非課税である。,×,錯誤を原因とする合筆の抹消登記は、1筆の土地について1000円の登録免許税が課されるため、非課税ではないため。
令和2年度第19問,不動産登記法,オ,登録免許税に関し、1個の建物の表題部所有者の住所の変更の登記の申請と、宗教法人が所有権の登記名義人である土地を2筆にする分筆の登記の申請の登録免許税は、いずれも非課税である。,×,表題部所有者の住所変更登記は非課税であるが、宗教法人が所有する土地の分筆登記については、原則として1000円の登録免許税が課され非課税ではないため。
令和2年度第20問,土地家屋調査士法,ア,土地家屋調査士等に関し、土地家屋調査士は，公務員として職務上取り扱った事件については，その業務を行うことができない。,○,土地家屋調査士法第22条の2等の規定により、公務員として職務上取り扱った事件に関する業務は、職務の公正を保つため行うことが禁止されているため。
令和2年度第20問,土地家屋調査士法,イ,土地家屋調査士等に関し、土地家屋調査士法人の清算人は，土地家屋調査士である必要はない。,×,土地家屋調査士法人の清算人は、その業務の性質上、社員であった者等の土地家屋調査士でなければならないとされているため。
令和2年度第20問,土地家屋調査士法,ウ,土地家屋調査士等に関し、日本土地家屋調査士会連合会により引き続き2年以上業務を行わないことを理由に土地家屋調査士の登録を取り消された者は，取消しに不服があるときは，法務大臣に対して審査請求をすることができる。,○,連合会が行った登録取消し処分に対して不服がある者は、行政不服審査法に基づき、監督官庁である法務大臣に対して審査請求をすることができるため。
令和2年度第20問,土地家屋調査士法,エ,土地家屋調査士等に関し、土地家屋調査士法人は，定款で定めるところにより，当事者その他関係人の依頼を受けて，鑑定人に就任し，土地の筆界に関する鑑定を行う業務をすることができる。,○,土地家屋調査士法第3条等の業務範囲に関する規定により、筆界に関する鑑定業務は調査士（法人含む）の業務として認められているため。
令和2年度第20問,土地家屋調査士法,オ,土地家屋調査士等に関し、土地家屋調査士は，土地の表示に関する登記について必要な測量の業務の依頼を受けた場合において，自ら当該業務を行うことができない正当な事由があるときは，補助者に当該業務を取り扱わせることができる。,×,測量業務は土地家屋調査士の独占的かつ専門的な業務であり、正当な事由があっても、補助者に全面的に取り扱わせる（名義貸し等）ことは禁止されているため。
令和元年度第1問,民法,ア,物権的請求権に関し、Ａに無断で甲土地上に乙建物を建てたＢが，自己名義の保存登記をした後に乙建物をＣに売却したが，登記名義がＢのままである場合，Ａは甲土地の所有権に基づき，Ｂに対しては乙建物の収去を求めることができるが，Ｃに対しては求めることができない。,×,他人の土地上の建物の所有権を取得した者は、自らの意思で所有権取得の登記を経由した以上、建物を譲渡しても登記名義を保有する限り土地所有者に対し建物収去・土地明渡しの義務を免れない（最判平6.2.8）。また、実際の所有者であるＣに対しても当然に収去を求めることができるため。
令和元年度第1問,民法,イ,物権的請求権に関し、ＡがＢに甲土地を売却したが，所有権の登記名義人がＡのままである場合において，Ｃが甲土地を違法に占有しているときは，Ｂは甲土地の所有権に基づき，Ｃに対し甲土地の明渡しを求めることができる。,○,未登記の所有者であっても、不法占拠者に対しては所有権に基づいて妨害排除（明渡し）を請求することができるため。
令和元年度第1問,民法,ウ,物権的請求権に関し、ＣがＢ所有の乙動産を無断で持ち出し，Ａの甲土地上に放置した場合において，Ａが乙動産を所有するＢに対し撤去を請求したとき，Ｂは，放置したのがＣであることを理由にその請求を拒絶することができない。,○,物権的請求権の相手方は、現に妨害状態を生じさせている者または妨害物の所有者である。Ｂは自らの行為でなくとも動産の所有者として撤去義務を負うため。
令和元年度第1問,民法,エ,物権的請求権に関し、Ｂが20年間，所有の意思をもって，平穏に，かつ，公然と甲土地を占有し取得時効を援用した後は，ＡはＢに対し，甲土地につき所有権に基づく物権的請求権を行使することができない。,○,取得時効の援用によりＢが甲土地の所有権を原始取得し、Ａは所有権を失うため、Ａは物権的請求権を行使できなくなるため。
令和元年度第1問,民法,オ,物権的請求権に関し、Ｂが甲土地に地役権を有する場合において，Ｃが違法かつ恒常的に駐車して地役権を侵害しているとき，Ｂは，地役権に基づき，Ａに対しては必要な措置を求めることができるが，Ｃに対しては侵害行為の禁止を求めることはできない。,×,地役権者は、地役権という物権に基づいて、妨害している第三者（Ｃ）に対して直接、妨害排除または妨害予防の請求（地役権侵害行為の禁止）を求めることができるため。
令和元年度第2問,民法,ア,共有に関し、Ａ，Ｂ及びＣが各3分の1の持分で共有する甲土地について，無権利者Ｄが単独で所有する旨の不実の登記をした場合，ＡはＢ及びＣの同意を得ない限り，Ｄに対してその登記の抹消を請求することはできない。,×,不実の登記の抹消請求は、共有物の保存行為に該当するため、各共有者（Ａ）が単独で行うことができるため。
令和元年度第2問,民法,イ,共有に関し、Ａ，Ｂ及びＣが各3分の1の持分で共有する甲土地を第三者Ｄが違法に占有している場合，ＡはＢ及びＣの同意を得なくても，Ｄに対して甲土地の明渡しを請求することができる。,○,不法占有者に対する明渡請求は共有物の保存行為に該当するため、各共有者（Ａ）が単独で行うことができるため。
令和元年度第2問,民法,ウ,共有に関し、ＡがＢ及びＣに無断で共有する甲土地に変更を加える行為をしている場合において，Ｂは，Ｃの同意を得ていないときは，Ａに対して当該行為の禁止を求めることはできない。,×,他の共有者が無断で共有物に変更を加える場合、その差し止め（禁止）を求めることは保存行為に該当し、各共有者（Ｂ）が単独で請求できるため。
令和元年度第2問,民法,エ,共有に関し、Ａ，Ｂ及びＣが各3分の1の持分で共有する甲土地を第三者Ｄが違法に占有している場合，ＡはＤに対して，Ｂ及びＣに生じた損害についての賠償を請求することができない。,○,不法行為に基づく損害賠償請求権は、各共有者がその持分の割合に応じて個別に取得・行使するものであり、他の共有者の損害分まで請求することはできないため。
令和元年度第2問,民法,オ,共有に関し、Ａ，Ｂ及びＣが共同して甲土地をＤに賃貸している場合において，Ｄに債務不履行があるときは，Ａは，Ｂ及びＣの同意を得なくても，当該賃貸借契約を解除することができる。,×,共有物の賃貸借契約の解除は、共有物の管理行為に該当するため、持分の価格の過半数で決する必要があり、Ａが単独で（過半数を得ずに）解除することはできないため。
令和元年度第3問,民法,ア,遺言に関し、未成年者であっても，15歳に達していれば，法定代理人の同意がなくとも，有効な遺言をすることができる。,○,民法第961条の規定により、15歳に達した者は、単独で有効な遺言をすることができるため。
令和元年度第3問,民法,イ,遺言に関し、自筆証書遺言の作成日付を「平成31年1月吉日」と記載した遺言も有効である。,×,自筆証書遺言には日付の記載が必要であり、「吉日」のような特定できない記載は日付の要件を満たさず、遺言全体が無効となるため。
令和元年度第3問,民法,ウ,遺言に関し、自筆証書遺言については，印章に代えて，指頭に朱肉を付けて押捺することができる。,○,自筆証書遺言における押印は、実印でなくともよく、また指印（拇印）であっても要件を満たすとするのが判例であるため。
令和元年度第3問,民法,エ,遺言に関し、遺言者が口がきけない者である場合には，公正証書遺言を利用することはできない。,×,口が利けない者であっても、通訳人の通訳や自筆での筆記によって遺言の趣旨を公証人に申述することで、公正証書遺言を作成することが可能であるため（民法第969条の2）。
令和元年度第3問,民法,オ,遺言に関し、ＡとＢが同一の紙面にそれぞれの遺言と日付を記載した場合において，その紙面にＡが署名押印をし，Ｂが署名押印をしていないときは，Ａ単独の遺言として有効となる。,×,民法第975条により、2人以上の者が同一の証書でする遺言（共同遺言）は禁止されており、一方が署名押印していなくても共同遺言の方式として無効となるため。
令和元年度第4問,不動産登記法,ア,管轄登記所に関し、主である建物の所在地が甲登記所の管轄区域内にあり，附属建物の所在地が乙登記所の管轄区域内にある一個の建物（甲登記所で登記）について，これを二個の建物に分割する登記の申請は，甲登記所に対してしなければならない。,○,建物の分割登記は、分割前の建物を管轄する登記所（この場合は主である建物の所在地を管轄する甲登記所）に対して申請しなければならないため。
令和元年度第4問,不動産登記法,イ,管轄登記所に関し、市町村合併により，建物の所在地が甲登記所の管轄から乙登記所の管轄に転属したときは，当該建物の表示に関する登記の申請は，甲登記所又は乙登記所のいずれの登記所にもすることができる。,×,管轄の転属があった場合、以後の登記申請は新たに管轄権を有するに至った登記所（乙登記所）に対してのみ行うことができ、選択できるわけではないため。
令和元年度第4問,不動産登記法,ウ,管轄登記所に関し、区分建物の敷地権の目的である土地が甲登記所の管轄区域内にある場合には，当該区分建物が乙登記所の管轄区域内に所在するときであっても，当該土地の表示に関する登記の申請は，乙登記所に対してすることはできない。,○,敷地権の目的である土地の表示に関する登記（分筆や地積更正など）は、当該土地の所在地を管轄する登記所（甲登記所）に対して申請しなければならないため。
令和元年度第4問,不動産登記法,エ,管轄登記所に関し、登記所の管轄区域を異にする土地にまたがって新築された建物の表題登記の申請は，当該建物の床面積の多い部分が存する土地を管轄する登記所に対してしなければならない。,×,管轄区域をまたがる建物の表題登記は、申請人がいずれかの登記所を指定して（または法務局長等の指定を受けて）申請するものであり、床面積の大小によって自動的に決まるものではないため。
令和元年度第4問,不動産登記法,オ,管轄登記所に関し、甲登記所に登記されている建物について，乙登記所の管轄区域内にある土地上に附属建物を新築したことにより管轄区域にまたがることとなった場合，附属建物の床面積が主である建物の床面積より大きいときであっても，表題部の変更の登記は甲登記所に対して申請しなければならない。,○,既に登記されている建物に附属建物を新築して管轄がまたがる場合、建物の主従関係に従い、主である建物の所在地を管轄する登記所（甲登記所）が引き続き管轄するため。
令和元年度第5問,不動産登記法,ア,地目に関し、ガソリンスタンドとして使用されている土地の地目は，その事務所が附随的なものであるときは，当該事務所が存する部分も含めて雑種地である。,○,ガソリンスタンドは原則として「雑種地」であり、それに付随する給油所や小さな事務所の敷地も全体を一体として「雑種地」と認定するため。
令和元年度第5問,不動産登記法,イ,地目に関し、宅地に接続して設けられた屋外プールの土地の地目は，雑種地である。,×,宅地（住宅等）に接続して設けられた屋外プールは、住宅の庭等の延長として利用されるため、独立した雑種地ではなく「宅地」として認定されるため。
令和元年度第5問,不動産登記法,ウ,地目に関し、専ら給水の目的で敷設された取水口から浄水場までの水路の用に供する土地の地目は，水道用地である。,○,専ら給水の目的で敷設された水管、水道、浄水場等の用地は「水道用地」として認定されるため。
令和元年度第5問,不動産登記法,エ,地目に関し、用水を利用して「わさび」を肥培管理する土地の地目は，田である。,○,用水を利用して（湛水して）わさび等を栽培する土地は、水を用いて耕作する土地として「田」と認定されるため。
令和元年度第5問,不動産登記法,オ,地目に関し、耕作の方法によらずに竹木が生育する土地の地目は，原野である。,×,耕作の方法によらずに竹木が生育する土地の地目は「山林」である。（「原野」は、かん木や雑草が生育する土地を指すため。）
令和元年度第6問,不動産登記法,ア,土地の滅失の登記に関し、滅失した土地の表題部所有者又は所有権の登記名義人は，当該土地が滅失した事実を知った日から1月以内に，当該土地の滅失の登記を申請しなければならない。,×,土地の滅失登記の申請義務は、土地が滅失した「事実を知った日」からではなく、客観的に「土地が滅失した日」から1か月以内とされているため。
令和元年度第6問,不動産登記法,イ,土地の滅失の登記に関し、一筆の土地の全部を掘って池を作り，常時水面下に没するようになった場合には，当該一筆の土地について，土地の滅失の登記を申請しなければならない。,×,人工的に池を作った場合、その土地は滅失したのではなく、地目が「池沼」に変更されたことになるため、滅失登記ではなく地目変更登記を申請するべきであるため。
令和元年度第6問,不動産登記法,ウ,土地の滅失の登記に関し、国土交通大臣の免許を受けて，一般運送の用に供する目的で一筆の土地の全部を掘って人工的に水路を設けたことにより常時水面下に没するようになった場合には，当該一筆の土地について，土地の滅失の登記を申請しなければならない。,×,運送の目的で人工的に水路（運河）を設けた場合は、土地が滅失したのではなく、地目が「運河用地」に変更されたことになるため。
令和元年度第6問,不動産登記法,エ,土地の滅失の登記に関し、春分又は秋分における満潮時において，一筆の土地の全部が海面下に没するようになった場合には，当該一筆の土地について，土地の滅失の登記を申請しなければならない。,○,土地の範囲は海面との境界（最高満潮時）を基準とするため、春分・秋分の満潮時に常時海面下に没するようになった土地は物理的に滅失したと扱われ、滅失の登記を申請しなければならないため。
令和元年度第6問,不動産登記法,オ,土地の滅失の登記に関し、崖崩れによって一筆の土地の一部が常時海面下に没するようになった場合は、全部が滅失したとは言えず，一筆の土地の一部が海面下に没したことによる地積の変更の登記の申請をすることになる。,○,土地の一部のみが海面下に没して復旧の見込みがない場合、残部は土地として存続するため、滅失登記ではなく地積の減少による「地積の変更の登記」を申請することになるため。
令和元年度第7問,不動産登記法,ア,地積測量図に関し、地積測量図には，基本三角点等に基づく測量成果の座標値を記録するのが原則であるが，近傍に存在しない等の特別の事情がある場合には，近傍の恒久的な地物に基づく測量成果の座標値を記録しなければならない。,○,不動産登記規則第77条第1項第7号等の規定により、基本三角点等に基づくことができない場合は、近傍の恒久的な地物（任意座標系）に基づく座標値を記録することが認められているため。
令和元年度第7問,不動産登記法,イ,地積測量図に関し、一の申請情報をもって隣接する数筆の土地の分筆の登記を申請する場合には，分筆後の土地の地積測量図は，分筆前の土地ごとに作成するものとされている。,○,分筆登記の地積測量図は、原則として分筆前の1筆の土地ごとに作成し、各筆の分割後の形状や面積を明らかにする必要があるため。
令和元年度第7問,不動産登記法,ウ,地積測量図に関し、地役権の設定の登記がある承役地である土地の分筆の登記を申請する場合において，添付情報として地積測量図を地役権図面とともに提供するときは，地積測量図の縮尺を地役権図面の縮尺と同一にしなければならない。,×,地積測量図（原則として1/250等）と地役権図面はそれぞれ別個の規則に基づいて作成されるものであり、必ずしも縮尺を同一にしなければならないという規定はないため。
令和元年度第7問,不動産登記法,エ,地積測量図に関し、表題登記がない土地について，所有権を有することが確定判決によって確認された者が所有権の保存の登記を申請する場合にも，地積測量図を提供しなければならない。,○,未登記の土地について判決による所有権保存登記（実質的な表題登記を含む）を申請する場合、不動産の物理的状況を明らかにするため地積測量図の提供が必要であるため。
令和元年度第7問,不動産登記法,オ,地積測量図に関し、地積測量図の保存期間は，閉鎖されたものであっても，永久とされている。,×,閉鎖された地積測量図の保存期間は、かつては永久等とされていた時期もあったが、現行の不動産登記規則等においては「閉鎖の日から50年間」（または30年間等、永久ではない）と定められているため。
令和元年度第8問,不動産登記法,ア,表示に関する登記の申請・添付情報に関し、会社法人等番号を有する法人が土地の地目変更の登記を支配人によって申請する場合，法務大臣が指定した登記所以外のものでない限り，当該支配人の権限を証する登記事項証明書を提供しなければならない。,×,申請書に会社法人等番号を提供した場合、登記官がシステム上で法人の登記事項（支配人の権限を含む）を確認できるため、支配人の権限を証する登記事項証明書の添付を省略することができるため。
令和元年度第8問,不動産登記法,イ,表示に関する登記の申請・添付情報に関し、土地の表題登記を申請する場合において，申請人である所有者が住民基本台帳法に規定する住民票コードを申請情報と併せて提供するときは，住所を証する情報の提供を要しない。,○,住民票コードを提供した場合、住基ネットを通じて登記官が住所等の情報を確認できるため、別途住民票の写し等の住所証明情報を提供することは要しないため。
令和元年度第8問,不動産登記法,ウ,表示に関する登記の申請・添付情報に関し、土地の表題登記を申請するときは，その土地の地番を申請情報の内容として提供しなければならない。,×,未登記の土地に付される「地番」は、表題登記の実行時に登記官が新たに付番するものであるため、申請人が申請情報の内容として提供する性質のものではないため。
令和元年度第8問,不動産登記法,エ,表示に関する登記の申請・添付情報に関し、所有権の登記がある土地の合筆の登記を申請する場合において，登記識別情報を失念したときは，当該登記識別情報を提供することができない理由を申請情報の内容として提供しなければならない。,○,合筆の登記等、登記識別情報の提供が義務付けられている登記においてそれを提供できない場合は、「失念」等の提供できない理由を申請情報の内容として提供しなければならないため。
令和元年度第8問,不動産登記法,オ,表示に関する登記の申請・添付情報に関し、国又は地方公共団体の所有する土地について，官庁又は公署が土地の表題登記を嘱託する場合であっても，所有権を証する情報の提供を省略することはできない。,×,官公署が表題登記を嘱託する場合、その公証力が担保されていることから、特例として所有権証明情報（所有権を有することを証する情報）の提供を省略することができるため。
令和元年度第9問,不動産登記法,ア,建物の個数に関し、近接して建てられた二棟の建物で，それぞれの2階部分に出入りするためには同一の屋外の階段を用いるほかないときは，この二棟の建物は一個の建物として取り扱われる。,○,物理的には二棟に見えても、効用上（出入り等の機能）不可分に結びついており、独立して利用できない状態であれば、全体を一個の建物として取り扱うため。
令和元年度第9問,不動産登記法,イ,建物の個数に関し、一筆の土地の上に同一の者の所有に属する三棟の建物がある場合には，それぞれの建物が異なる借主の居宅として利用されているときでも，三棟の建物を一個の建物として取り扱うことができる。,×,各棟が独立した居宅として異なる借主に利用されている場合、それぞれが独立した建物の要件（外気分断性・定着性・用途性）を満たしており、効用上の一体性がないため、一個の建物として（主・附属として）取り扱うことはできないため。
令和元年度第9問,不動産登記法,ウ,建物の個数に関し、所有者Ａが甲建物に近接して効用上一体として利用する乙建物を新築した場合において，甲建物に抵当権の登記がされているときは，甲建物を主である建物，乙建物を附属建物とする一個の建物として取り扱うことはできない。,×,抵当権の効力は主物の設定後に生じた従物（附属建物）にも及ぶと解されており、甲建物に抵当権が設定されていても、新築した乙建物を附属建物として登記（一個の建物として取り扱うこと）は可能であるため。
令和元年度第9問,不動産登記法,エ,建物の個数に関し、数個の専有部分に通ずる廊下で建物の構造上区分所有者の一部の共用に供されるべき建物の部分は，一個の建物として取り扱うことができる。,×,構造上共用に供されるべき部分（法定共用部分である廊下や階段室等）は、専有部分としての独立性を有しないため、一個の建物（区分建物）として登記することはできないため。
令和元年度第9問,不動産登記法,オ,建物の個数に関し、共用部分である旨の登記がある建物であっても，一個の建物として取り扱われる。,○,規約共用部分（集会室や管理人室など）は、構造上・利用上の独立性を有する一個の建物（区分建物）であり、単に権利関係として共用部分とする旨の登記がされているに過ぎないため。
令和元年度第10問,不動産登記法,ア,建物図面及び各階平面図に関し、建物の敷地についての地積更正登記がされ，新たに地積測量図が備え付けられたときは，建物の表題部所有者等は，当該建物の建物図面の訂正の申出をしなければならない。,×,敷地の地積が更正されても、建物自体の敷地上の配置（位置関係）に物理的な変更が生じるわけではないため、直ちに建物図面の訂正申出をする法的義務はないため。
令和元年度第10問,不動産登記法,イ,建物図面及び各階平面図に関し、書面で建物図面等を提供する場合において，用紙が数枚にわたるときは，余白の適宜の箇所にその総枚数及び当該用紙が何枚目の用紙である旨を記載するものとされている。,○,不動産登記規則第73条等の規定により、図面が複数枚にわたる場合は、綴り合わせ等の関係を明確にするため「総枚数と何枚目か」を記載することが定められているため。
令和元年度第10問,不動産登記法,ウ,建物図面及び各階平面図に関し、資格者代理人が電子署名を行って提供する建物図面又は各階平面図には，作成の年月日並びに申請人及び作成者の氏名又は名称を記録しなければならない。,○,電子図面として提供する場合であっても、図面の真正を担保するため、書面の場合と同様に作成年月日や申請人・作成者（代理人）の情報を記録しなければならないため。
令和元年度第10問,不動産登記法,エ,建物図面及び各階平面図に関し、資格者代理人が電子署名を行って提供する建物図面は，その建物の敷地についての地図が備え付けられているときは，当該地図と同一の縮尺により作成しなければならない。,×,建物図面は原則として500分の1の縮尺で作成するものと規定されており、敷地の地図（例えば1/250や1/1000など）の縮尺に合わせなければならないという規定はないため。
令和元年度第10問,不動産登記法,オ,建物図面及び各階平面図に関し、区分建物として登記されている隣接する2部屋の隔壁を除去し物理的に1部屋としたときは，建物図面及び各階平面図の訂正の申出をすることができる。,×,隔壁の除去により物理的な構造や床面積が変更され、2個の建物が1個の建物になった場合は、「訂正」ではなく、建物の合体または合併による「変更登記」等の手続きを行わなければならないため。
令和元年度第11問,不動産登記法,ア,一の申請情報により申請することができる登記に関し、甲土地及び乙土地の表題部所有者であるＡは，甲土地の表題部所有者の氏名についての変更の登記と，乙土地を甲土地に合筆する合筆の登記を，一の申請情報によって申請することができない。,×,合筆の前提として表題部所有者の表示変更が必要な場合など、相互に密接な関連を有するときは、便宜上、一の申請情報によって申請することができるため。
令和元年度第11問,不動産登記法,イ,一の申請情報により申請することができる登記に関し、同一の土地について，地目の変更の登記と地積の更正の登記は，一の申請情報によって申請することができない。,×,同一の土地に対する表題部の変更の登記と更正の登記は、不動産登記事務取扱手続準則の規定により一の申請情報によって申請することができるため。
令和元年度第11問,不動産登記法,ウ,一の申請情報により申請することができる登記に関し、甲建物を取り壊して，その敷地上に乙建物を新築した場合に，甲建物についての建物の滅失の登記と，乙建物についての建物の表題登記は，一の申請情報によって申請することができない。,○,滅失登記と新築による表題登記は、それぞれ別個の不動産に対する登記であり、原因も異なるため、一の申請情報で申請することはできないため。
令和元年度第11問,不動産登記法,エ,一の申請情報により申請することができる登記に関し、同一の登記所の管轄区域内に，いずれも所有権の登記名義人がＡである甲土地と乙土地とが隣接して存在する場合において，宅地造成が完了して甲土地と乙土地の地目が同一の日に雑種地から宅地となったときは，甲土地の地目の変更の登記と乙土地の地目の変更の登記は，一の申請情報によって申請することができる。,○,同一の登記所の管轄区域内にあり、登記の目的及び登記原因並びにその日付が同一であるため、不動産登記規則第35条の規定により一の申請情報で申請することができるため。
令和元年度第11問,不動産登記法,オ,一の申請情報により申請することができる登記に関し、同一の登記所の管轄区域内にある甲土地及び乙土地について，表題部所有者がＡである甲土地の分筆の登記と，所有権の登記名義人がＡである乙土地の分筆の登記は，一の申請情報によって申請することができない。,○,表題部所有者のみの土地と所有権の登記がある土地では登記の状況が異なり、また分筆は個別の土地に対する物理的変更であるため、原則として一の申請情報によって申請することはできないため。
令和元年度第12問,不動産登記法,ア,建物の分割又は合併の登記に関し、共用部分である旨の登記がある甲建物を共用部分である旨の登記がない乙建物の附属建物とする建物の合併の登記は，申請することができない。,○,不動産登記法第54条の規定により、共用部分である旨の登記がある建物は、権利関係の混乱を防ぐため他の建物と合併することはできないため。
令和元年度第12問,不動産登記法,イ,建物の分割又は合併の登記に関し、甲建物の登記記録から甲建物の附属建物を分割して，これを乙建物の附属建物としようとするときは，甲建物の附属建物を分割する建物の分割の登記と，当該附属建物を乙建物の附属建物とする建物の合併の登記は，一の申請情報によって申請することができる。,○,分割による建物の物理的変更と、それを他の建物の附属建物とする合併は相互に密接な関連を有するため、一の申請情報により申請することができるため。
令和元年度第12問,不動産登記法,ウ,建物の分割又は合併の登記に関し、互いに接続する甲区分建物と乙区分建物とを合併して一個の区分建物とする建物の合併の登記は，合併前の甲区分建物及び乙区分建物の種類が同一でなければ，申請することができない。,×,区分建物同士の合併においては、種類が異なっていても合併自体は可能であり、合併後は主たる用途を併記するなどの方法で登記されるため。
令和元年度第12問,不動産登記法,エ,建物の分割又は合併の登記に関し、一棟の建物の中間部分を取り壊して，相互に接続しない二棟の建物とした場合において，いずれの建物も主である建物とする場合には，どちらか一方を主である建物，もう一方を附属建物とする建物の表題部の変更の登記を申請し，当該登記が完了した後でなければ建物の分割の登記を申請することができない。,×,一部取壊しによる表題部変更の登記と、独立した二棟となることによる建物の分割の登記は、同時に一の申請情報によって申請することができるため。
令和元年度第12問,不動産登記法,オ,建物の分割又は合併の登記に関し、敷地権の登記がある甲区分建物を敷地権の登記がある乙区分建物の附属建物とする建物の合併の登記は，申請することができない。,×,敷地権の目的たる土地や敷地権の割合に関する一定の要件を満たす場合には、敷地権の登記がある区分建物同士であっても合併の登記を申請することができるため。
令和元年度第13問,不動産登記法,ア,建物の表題部の登記に関し、建物の表題部所有者であるＡの申請によりされたＡを所有権の登記名義人とする所有権の保存の登記が錯誤により抹消された場合には，その建物の所有者Ｂの申請又は職権により，当該建物についての表題登記を改めてすることとなる。,×,Aの保存登記が錯誤抹消された場合、登記記録は閉鎖されず、Aが真の所有者でないことが判明したとしてAの表題部所有者の記録が抹消され、真の所有者Bのために表題部所有者の更正等が行われるか、Bからの新たな表題登記等により処理されるため。
令和元年度第13問,不動産登記法,イ,建物の表題部の登記に関し、建物の表題部所有者の相続人を所有権の登記名義人とする所有権の保存の登記が錯誤により抹消された場合には，登記官において当該表題部所有者が所有権を有していたことを確認することができるときであり，かつ，当該建物が現存するときであっても，当該建物の登記記録は閉鎖される。,×,保存登記が抹消された場合であっても、表題部所有者が真に所有権を有していたことが確認でき、建物が現存するのであれば、表題部の記録は回復し登記記録は閉鎖されないため。
令和元年度第13問,不動産登記法,ウ,建物の表題部の登記に関し、建物を新築する場合において，不動産工事の先取特権の保存の登記がされた建物の建築が完了したときは，当該建物の所有者は，当該建物の表題登記を申請する必要がない。,×,先取特権保存の登記のために職権で表題部が作成された場合であっても、建築完了後には所有者は1か月以内に建物の表示の変更（完成した建物の表題登記に相当）を申請する義務があるため。
令和元年度第13問,不動産登記法,エ,建物の表題部の登記に関し、所有権の登記がある建物の附属建物を新築する場合において，不動産工事の先取特権の保存の登記がされた後附属建物の建築が完了したときは，当該附属建物が属する建物の所有権の登記名義人は，遅滞なく，当該附属建物の新築による建物の表題部の変更の登記を申請しなければならない。,○,不動産登記法第51条第5項の規定により、先取特権保存登記後に附属建物の建築が完了したときは、「遅滞なく」建物の表題部の変更の登記を申請しなければならないため。
令和元年度第13問,不動産登記法,オ,建物の表題部の登記に関し、Ａが表題部所有者である甲建物と，Ａが表題部所有者である乙建物の附属建物として登記されている丙建物とが，増改築工事により一個の建物となった場合には，甲建物と丙建物が一個の建物となった日から１月以内に，合体後の建物についての建物の表題登記並びに合体前の甲建物及び乙建物についての表題部の登記の抹消を申請しなければならない。,○,独立した建物と他の建物の附属建物が合体して一個の建物となった場合、不動産登記法の規定に従い、合体の日から1か月以内に合体による登記等（新表題登記及び旧表題部の抹消）を申請しなければならないため。
令和元年度第14問,不動産登記法,ア,登記の代位申請に関し、土地区画整理事業の施行者は，土地区画整理事業の施行のために必要がある場合においても，所有権の登記名義人に代位して，土地の分筆又は合筆の登記を申請することはできない。,×,土地区画整理法等の規定により、施行者は事業の施行のために必要があるときは、所有権の登記名義人に代位して土地の分筆等の登記を申請することができるため。
令和元年度第14問,不動産登記法,イ,登記の代位申請に関し、一筆の土地の一部について地役権の設定を受けた地役権者は，当該土地の所有権の登記名義人に代位して，その一部分を分筆する分筆の登記を申請することができる。,×,土地の一部に対する地役権の設定は、地役権図面を添付することで分筆せずに登記可能であるため、地役権者が分筆を代位申請する保全の必要性は認められないため。
